 Location_Number,Location_Name,Phone,Physical_Address,Physical_City,Physical_State,Physical_Zip,lat,lng
830,First Memorial Garden of Memories,(250) 658-5244,4725 Falaise Drive,Victoria,BC,V8Y1B4,48.5046138,-123.3839471
836,Forest Lawn Memorial Park,(604) 299-7711,3789 Royal Oak Ave,Burnaby,BC,V5G3M1,49.2456354,-122.9926093
837,Lakeview Memorial Gardens Cemetery,(250) 765-2929,2850 Dry Valley Road,Kelowna,BC,V1V2K1,49.9748377,-119.3909228
838,Ocean View Burial Park,(604) 435-6688,4000 Imperial Street,Burnaby,BC,V5J1A4,49.2210703,-123.0165097
839,Boal Chapel and Memorial Gardens,(604) 990-8988,1505 Lillooet Road,North Vancouver,BC,V7J2J1,49.3209162,-123.0223802
3091,Vernon Funeral Home - Cemetery Niches,(250) 542-0155,3007 28th Street,Vernon,BC,V1T4Z7,50.2643907,-119.2674831
3092,Fraserview Crematorium - Cemetery Niches,(250) 562-4881,3355 Memorial Lane,Prince George,BC,V2L4V7,53.9154638,-122.747749
6800,Victory Memorial Park,(604) 536-6522,14831-28th Ave,Surrey,BC,V4P1P3,49.0536627,-122.8112007
6801,Vancouver Memorial Services and Crematorium.,(604) 325-8251,5505 Fraser Street,Vancouver,BC,V5W2Z3,49.2337362,-123.0921668
6802,Thomson In The Park Cemetery,(204) 925-1120,1291 McGillivray Blvd,Winnipeg,MB,R3T5Y4,49.8392437,-97.1643653
6803,Green Acres Funeral Home and Cemetery,(204) 222-3241,1 Green Acres Lane,Navin,MB,R5T0H2,49.8437392,-96.9884872
6804,Waverley Memorial Gardens,(204) 925-1120,1501 Waverley Street,Winnipeg,MB,R3T0P7,49.8228789,-97.1812996
6807,Holy Angel Mausoleum,(204) 222-3241,1 Green Acres Lane,Navin,MB,R5T0H2,49.8437392,-96.9884872
826,Lakeview Memorial Gardens Crematory,(250) 491-5013,2850 Dry Valley Road,Kelowna,BC,V1V2K1,49.9748377,-119.3909228
3081,Mourning Glory Cremation Centre,(306) 978-5200,1201 8th Street East,Saskatoon,SK,S7H0S5,52.1150481,-106.6410473
3171,Fraserview Crematorium,(250) 562-4881,3355 Memorial Park Lane,Prince George,BC,V2L4V7,53.8870417,-122.765473
3192,Residences funeraires Gravel Crematory,(450) 463-1900,"825, B&eacute;gin",Chicoutimi,QC,G7H4N7,48.416259,-71.0639859
3236,Families First Crematory Services,(713) 522-5141,3310 Dougall Avenue,Windsor,ON,N9E1S6,42.2672752,-83.0089025
3603,Complexe Fun. Sylvio Marceau Crematory,(418) 627-3493,15015 Boulevard Henri Bourassa,Quebec,QC,G1G3Z2,46.8811697,-71.2878027
3604,Cape Breton Crematory,(902) 539-3002,400 George Street,Sydney,NS,B1P1K3,46.1382083,-60.1927831
3609,Maher's Crematorium,(506) 789-1699,33 Rue Lansdowne Street West,Campbellton,NB,E3N3G4,48.0024244,-66.6776887
3610,Foster's Garden Chapel & Crematory,(403) 297-0888,3220 4th St NW,Calgary,AB,T2M3A5,51.0809794,-114.0710423
3613,Jacques Funeral Home & Crematorium,(403) 297-0711,12700 Macleod Trail SE,Calgary,AB,T2J7E5,50.9391132,-114.0683617
3617,Valley Crematorium,(306) 698-2557,210 Claude Street,Wolseley,SK,S0G5H0,50.4242748,-103.2725834
3731,Mission Hill Crematorium,(250) 338-6210,4768 North Island Hwy,Courtenay,BC,V9N5Y7,49.7109082,-124.9912609
5463,Pine Grove Crematorium,(250) 374-0932,750 Notre Dame Drive Unit C,Kamloops,BC,V2C6L5,50.6672939,-120.3593279
6806,Community Crematorium Services,(306) 757-2777,2120 4th Ave,Regina,SK,S0G4C0,50.4640176,-104.6112139
7928,HENDERSONS CREMATORIUM,(604) 792-1344,45901 Victoria Ave,Chilliwack,BC,V2P2S9,49.1730917,-121.9541699
3001,Jerrett Funeral Homes,(416) 654-7744,1141 St Clair Ave West,Toronto,ON,M6E1B1,43.6780342,-79.4416128
3002,Kane-Jerrett Funeral Homes,(416) 223-6050,6191 Yonge Street,Toronto,ON,M2M4K4,43.794483,-79.4187384
3003,Jerrett Funeral Homes,(416) 266-4404,660 Kennedy Road,Toronto,ON,M1K2B5,43.7256563,-79.265773
3004,JA Snow Funeral Home,(902) 455-0531,339 Lacewood Drive,Halifax,NS,B3S0E1,44.6597465,-63.6675375
3005,Lahaie & Sullivan Cornwall Funeral Home - East Branch,(613) 933-2841,614 First Street East,Cornwall,ON,K6H1M1,45.020898,-74.7153765
3006,Lahaie & Sullivan Cornwall Funeral Home - West Branch,(613) 932-8482,20 Seventh Street West,Cornwall,ON,K6J2X7,45.0252468,-74.7336419
